Time,Fx,Fy,Fz,Mx,My,Mz
00:00:00.0000,0.426566272974014,0.104973964393139,0.464419335126877,-0.0669307708740234,-0.0879766494035721,-0.00497160898521543
00:00:00.0160,0.571279168128967,-0.157513961195946,0.614886105060577,-0.0798202157020569,-0.0746352151036263,0.0166177060455084
00:00:00.0320,0.0507521629333496,-0.172089353203773,0.865303516387939,-0.0722280070185661,-0.0793680474162102,-0.00170936970971525
00:00:00.0480,0.298355907201767,0.0595387034118176,0.599079489707947,-0.0589059181511402,-0.0807832181453705,-0.0101290075108409
00:00:00.0640,0.731531918048859,-0.0991623997688293,0.580820858478546,-0.0701132342219353,-0.0703998655080795,0.0151340831071138
00:00:00.0800,0.129459664225578,-0.23836162686348,0.718573927879334,-0.0782611295580864,-0.0777759402990341,0.00343486270867288
00:00:00.0960,0.0915120393037796,0.0454281866550446,0.75633704662323,-0.0628829896450043,-0.0894443914294243,-0.010418837890029
00:00:00.1120,0.696676671504974,0.0139088910073042,0.465740233659744,-0.0695178359746933,-0.0797110795974731,0.00875061098486185
00:00:00.1280,0.215760186314583,-0.237583354115486,0.645769715309143,-0.0844753533601761,-0.0787883996963501,0.0106028551235795
00:00:00.1440,-0.0043101804330945,-0.012629265896976,0.927147567272186,-0.066328801214695,-0.09349624812603,-0.00942297279834747
00:00:00.1600,0.573778867721558,0.0410103686153889,0.382515758275986,-0.0653388947248459,-0.0834698975086212,0.00138645677361637
00:00:00.1760,0.44474533200264,-0.229583010077477,0.663605391979218,-0.0808270946145058,-0.0742457434535027,0.0144381867721677
00:00:00.1920,-0.000537166080903262,-0.0984569638967514,0.991103053092957,-0.0686245486140251,-0.0847708061337471,-0.00573890609666705
00:00:00.2080,0.478155672550201,0.0987306237220764,0.472481578588486,-0.0652039721608162,-0.0759868621826172,-0.00518199428915977
00:00:00.2240,0.705543756484985,-0.0955335274338722,0.557707190513611,-0.0841043144464493,-0.0644672513008118,0.0150071540847421
00:00:00.2400,-0.00988860707730055,-0.109474487602711,0.938926756381989,-0.0841736570000649,-0.0831876248121262,9.76848752998194e-08
